

Minimum : 6

Score : 6

 (Subject#Professor#Student Group)

Room Number: E101

Timings: ,9:00 A 10:00,10:00 A 11:00,11:00 A 12:00,12:00 A 13:00,13:00 A 14:00,14:00 A 15:00,15:00 A 16:00,
Days
lunes,(Economia#Martinez#1 A),(Economia#Martinez#1 A),(Ingles#Gomez#1B),BREAK,(Economia#Martinez#1B),(Ingles#Gomez#1B),(Ingles#Gomez#1 A),
martes,(Economia#Martinez#1B),(Economia#Martinez#1B),(Economia#Martinez#1B),BREAK,(Economia#Martinez#1B),(Ingles#Gomez#1 A),(Economia#Martinez#1 A),
miércoles,(Ingles#Gomez#1B),(Economia#Martinez#1 A),(Economia#Martinez#1 A),BREAK,(Ingles#Gomez#1 A),(Economia#Martinez#1B),(Economia#Martinez#1B),
jueves,(Ingles#Gomez#1 A),(Ingles#Gomez#1 A),(Ingles#Gomez#1 A),BREAK,(Ingles#Gomez#1 A),(Economia#Martinez#1 A),(Economia#Martinez#1B),
viernes,(Ingles#Gomez#1B),(Ingles#Gomez#1B),(Economia#Martinez#1B),BREAK,(Ingles#Gomez#1B),(Ingles#Gomez#1 A),(Economia#Martinez#1B),
sábado,(Ingles#Gomez#1 A),(Economia#Martinez#1B),(Ingles#Gomez#1B),BREAK,(Economia#Martinez#1B),(Ingles#Gomez#1B),(Economia#Martinez#1 A),



Room Number: D101

Timings: ,9:00 A 10:00,10:00 A 11:00,11:00 A 12:00,12:00 A 13:00,13:00 A 14:00,14:00 A 15:00,15:00 A 16:00,
Days
lunes,(Ingles#Gomez#1B),(Ingles#Gomez#1 A),(Economia#Martinez#1B),BREAK,(Ingles#Gomez#1B),(Economia#Martinez#1 A),(Economia#Martinez#1B),
martes,(Ingles#Gomez#1B),(Ingles#Gomez#1B),(Economia#Martinez#1 A),BREAK,(Ingles#Gomez#1 A),(Economia#Martinez#1 A),(Ingles#Gomez#1B),
miércoles,(Economia#Martinez#1 A),(Ingles#Gomez#1 A),(Ingles#Gomez#1 A),BREAK,(Economia#Martinez#1 A),(Ingles#Gomez#1 A),(Ingles#Gomez#1 A),
jueves,(Economia#Martinez#1B),(Economia#Martinez#1 A),(Economia#Martinez#1 A),BREAK,(Economia#Martinez#1 A),(Ingles#Gomez#1B),(Ingles#Gomez#1 A),
viernes,(Economia#Martinez#1B),(Ingles#Gomez#1 A),(Ingles#Gomez#1B),BREAK,(Economia#Martinez#1B),(Ingles#Gomez#1B),(Ingles#Gomez#1B),
sábado,(Ingles#Gomez#1 A),(Ingles#Gomez#1B),(Economia#Martinez#1 A),BREAK,(Economia#Martinez#1B),(Economia#Martinez#1 A),(Economia#Martinez#1 A),

